#
# The g8b run table. This is in a format which can be handled by TExpTable (a root class by K.Livingston).
#
# It is "extensible". If you want to add a column of your own please do so.
# The variable name must have no spaces in it, and the type must be %d, %f or %s.
# There MUST be a corresponding entry in every row.
#
# To generate the header for this, run the script table2header like this:
# Defined variables in header file: allruns.h
#
# The header defines c variables with an RT_ prefix for each variable name.
# eg. int RT_Run; for "Run", etc.
#
#You need to include this in your analysis code
#Something like this
#
#//----------------------------------- myanalysis.C -----------------------------------------
##include "allruns.h"
#...
#...
#...
#class TExpTable *expTable;
#...
#...
#char **filelist[]={"clas_47848.A00.root","clas_47849.A02.root",.....,NULL};
#...
#myanalysis(){
#  char *file;
#  int fcounter=0,run;
#  expTable = new TExpTable("dat/allruns.dat",RunTableVariables); //create a table object
#  ...
#  ...
#  while((file=filelist[fcounter++])!=NULL){                      //loop over all files
#    sscanf(strchr(file,'_')+1,"%d",&run);                        //get run number from filename
#    expTable->GetAllForValue(run,"Run");                         //update all variables for this run
#
#    if(RT_Radiat==AMO) myAmoFileRoutine();                       //do something based on a RT variable
#  }
#}
#
#
#//------------------------------------------------------------------------------------------
Variables: Run AmoRun S_Date   S_Time  File    Event  Time  Target  LiveF   LiveC   Beam    I   Torus Mini ec_hi ec_lo cc_hi FcupA   Radiat  Good 	Edge Comment
Row:     47887 47857 05-07-08    17:51    8  5113910   44  H2_full  0.95     0.94   4558   10.0   1928   0   28   28   50   116897     test    J	1.9  -
Row:     47888 47857 05-07-08    18:41    4  2600544   13  H2_full  0.93     0.92   4558   10.0   1928   0   28   28   50    40058     test    J	1.9  -
Row:     47889 47857 05-07-08    19:00    1   350422    1  H2_full  0.97     0.96   4558   10.0   1928   0   28   28   50     3128     test    J	1.9  -
Row:     47890 47857 05-07-08    19:07    3  1484499    5  H2_full  0.87     0.86   4558   10.0   1928   0   28   28   50    14221     test    J	1.9  -
Row:     47891 47857 05-07-08    19:19   29 20590955   68  H2_full  0.90     0.89   4558   10.0   1928   0   28   28   50   231847    DSWAP    G	1.5  -
Row:     47892 47892 05-07-08    20:39   27 21351390  117  H2_full  0.95     0.93   4558    8.0   1928   0   28   28   50   410569      AMO    G	1.5  -
Row:     47893 47892 05-07-08    22:51   29 20221359   85  H2_full  0.92     0.91   4558   10.0   1928   0   28   28   50   290804    DSWAP    G	1.5  -
Row:     47894 47892 05-07-09    00:22    6  4185489   49  H2_full  0.97     0.96   4558   10.0   1928   0   28   28   50   174499    DSWAP    G	1.5  -
Row:     47895 47892 05-07-09    01:28    1    50565    3  H2_full  1.04     1.03   4558   10.0   1928   0   28   28   50     7364     test    J	1.9  -
Row:     47896 47892 05-07-09    02:22   26 19994317  100  H2_full  0.94     0.92   4558   10.0   1928   0   28   28   50   292181     test    J	1.9  -
Row:     47897 47892 05-07-09    04:05   16 12157122   37  H2_full  0.91     0.90   4558   10.0   1928   0   28   28   50   133527     test    J	1.9  -
Row:     47898 47892 05-07-09    04:48   30 21145309  123  H2_full  0.91     0.90   4558   10.0   1928   0   28   28   50   267945    DSWAP    G	1.5  -
Row:     47899 47892 05-07-09    06:54   28 19567087   75  H2_full  0.92     0.90   4558   10.0   1928   0   28   28   50   261022    DSWAP    G	1.5  -
Row:     47900 47900 05-07-09    08:17   26 20055146  160  H2_full  0.93     0.91   4558    8.0   1928   0   28   28   50   262960      AMO    G	1.5  -
Row:     47901 47900 05-07-09    11:04   28 20061645   75  H2_full  0.91     0.89   4558   10.0   1928   0   28   28   50   237107    DSWAP    G	1.5  -
Row:     47902 47900 05-07-09    12:22   29 20049532   65  H2_full  0.90     0.89   4558   10.0   1928   0   28   28   50   218369    DSWAP    G	1.5  -
Row:     47903 47900 05-07-09    13:30   30 21164368   66  H2_full  0.89     0.87   4558   10.0   1928   0   28   28   50   236561    DSWAP    G	1.5  -
Row:     47904 47904 05-07-09    14:49   26 20115161   68  H2_full  0.92     0.90   4558   10.0   1928   0   28   28   50   240766      AMO    G	1.5  -
Row:     47905 47904 05-07-09    16:05   28 20372066   71  H2_full  0.92     0.90   4558   10.0   1928   0   28   28   50   239620    DSWAP    G	1.5  -
Row:     47906 47904 05-07-09    17:20   28 19402860   67  H2_full  0.91     0.89   4558   10.0   1928   0   28   28   50   235267    DSWAP    G	1.5  -
Row:     47907 47904 05-07-09    18:32   30 20722793   76  H2_full  0.92     0.89   4558   10.0   1928   0   28   28   50   242057    DSWAP    G	1.5  -
Row:     47908 47908 05-07-09    19:54   28 20858490  102  H2_full  0.94     0.90   4558   10.0   1928   0   28   28   50   265923      AMO    G	1.5  -
Row:     47911 47908 05-07-09    22:02   15 10381928   72  H2_full  0.92     0.90   4558   10.0   1928   0   28   28   50   124136    DSWAP    G	1.5  -
Row:     47912 47908 05-07-09    23:20   35 24944596   89  H2_full  0.91     0.89   4558   10.0   1928   0   28   28   50   280919    DSWAP    G	1.5  -
Row:     47913 47908 05-07-10    00:53   29 20424277   67  H2_full  0.90     0.89   4558   10.0   1928   0   28   28   50   222444    DSWAP    G	1.5  -
Row:     47915 47908 05-07-10    02:16   28 20048652   64  H2_full  0.90     0.89   4558   10.0   1928   0   28   28   50   237333    DSWAP    G	1.5  -
Row:     47916 47916 05-07-10    03:29   26 20230839   73  H2_full  0.91     0.90   4558   10.0   1928   0   28   28   50   253903      AMO    G	1.5  -
Row:     47917 47916 05-07-10    04:46   32 22874445   73  H2_full  0.89     0.89   4558   10.0   1928   0   28   28   50   250976    DSWAP    G	1.5  -
Row:     47918 47916 05-07-10    06:01   28 20059774   65  H2_full  0.89     0.89   4558   10.0   1928   0   28   28   50   214143    DSWAP    G	1.5  -
Row:     47919 47916 05-07-10    07:08   29 20676933   67  H2_full  0.89     0.88   4558   10.0   1928   0   28   28   50   221330    DSWAP    G	1.5  -
Row:     47922 47916 05-07-10    08:35   29 20527365   68  H2_full  0.79     0.83   4558   10.0   1928   0   28   28   50   236794    DSWAP    G	1.5  -
Row:     47923 47923 05-07-10    09:50   25 20049706   68  H2_full  0.85     0.87   4558    8.0   1928   0   28   28   50   244116      AMO    G	1.5  -
Row:     47924 47923 05-07-10    11:03   28 20045671   66  H2_full  0.80     0.84   4558   10.0   1928   0   28   28   50   240198    DSWAP    G	1.5  -
Row:     47925 47923 05-07-10    12:12   28 19442740   66  H2_full  0.81     0.84   4558   10.0   1928   0   28   28   50   234820    DSWAP    G	1.5  -
Row:     47926 47923 05-07-10    14:01   17 12176277  118  H2_full  0.82     0.86   4558   10.0   1928   0   28   28   50   167179    DSWAP    G	1.5  -
Row:     47927 47927 05-07-10    16:12   29 22224510  103  H2_full  0.83     0.86   4558    8.0   1928   0   28   28   50   300373      AMO    G	1.5  -
Row:     47928 47927 05-07-10    18:00   29 20046550   65  H2_full  0.79     0.83   4558   10.0   1928   0   28   28   50   241650    DSWAP    G	1.5  -
Row:     47929 47927 05-07-10    19:08   29 20337108   67  H2_full  0.79     0.83   4558   10.0   1928   0   28   28   50   240365    DSWAP    G	1.5  -
Row:     47930 47927 05-07-10    20:19   28 20198037   67  H2_full  0.80     0.83   4558   10.0   1928   0   28   28   50   245076    DSWAP    G	1.5  -
Row:     47931 47931 05-07-10    21:30   26 20225020   64  H2_full  0.80     0.84   4558   10.0   1928   0   28   28   50   238769      AMO    G	1.5  -
Row:     47932 47931 05-07-10    22:38   29 20666561   70  H2_full  0.81     0.84   4558   10.0   1928   0   28   28   50   254753    DSWAP    G	1.5  -
Row:     47933 47931 05-07-10    23:50   29 20074236   69  H2_full  0.81     0.84   4558   10.0   1928   0   28   28   50   255197    DSWAP    G	1.5  -
Row:     47934 47931 05-07-11    01:03   29 20607970   68  H2_full  0.80     0.84   4558   10.0   1928   0   28   28   50   256244    DSWAP    G	1.5  -
Row:     47935 47935 05-07-11    02:16   28 21848152   78  H2_full  0.84     0.87   4558    8.0   1928   0   28   28   50   288496      AMO    G	1.5  -
Row:     47936 47935 05-07-11    03:39   32 22828511   80  H2_full  0.81     0.84   4558   10.0   1928   0   28   28   50   278764    DSWAP    G	1.5  -
Row:     47937 47935 05-07-11    05:02   28 20002312   68  H2_full  0.82     0.85   4558   10.0   1928   0   28   28   50   253563    DSWAP    G	1.5  -
Row:     47938 47935 05-07-11    06:13   29 19985542   67  H2_full  0.81     0.84   4558   10.0   1928   0   28   28   50   247850    DSWAP    G	1.5  -
Row:     47939 47939 05-07-11    07:25   26 20055050   71  H2_full  0.84     0.86   4558    8.0   1928   0   28   28   50   256468      AMO    G	1.5  -
Row:     47941 47939 05-07-11    09:43   31 21779948   75  H2_full  0.80     0.83   4558   10.0   1928   0   28   28   50   272374    DSWAP    G	1.5  -
Row:     47943 47939 05-07-11    11:13   28 20042411   67  H2_full  0.80     0.84   4558   10.0   1928   0   28   28   50   249081    DSWAP    G	1.5  -
Row:     47944 47939 05-07-11    12:23   29 20173394   68  H2_full  0.81     0.84   4558   10.0   1928   0   28   28   50   257246    DSWAP    G	1.5  -
Row:     47945 47945 05-07-11    13:39   25 20053788   77  H2_full  0.86     0.88   4558    8.0   1928   0   28   28   50   289031      AMO    G	1.5  -
Row:     47946 47945 05-07-11    15:05    3  5261259   19  H2_full  0.05     0.04   4558    0.1   1928   0   28   28   50    33905   AMOTAC    G	1.5  -
Row:     47947 47945 05-07-11    15:29    3  5597185   12  H2_full  0.06     0.04   4558    0.1   1928   0   28   28   50    36517     DTAC    G	1.5  -
Row:     47948 47945 05-07-11    16:00   30 20165621   76  H2_full  0.77     0.81   4558   10.0   1928   0   28   28   50   252909    DSWAP    G	1.7  -
Row:     47949 47945 05-07-11    17:20   30 20173402   66  H2_full  0.76     0.81   4558   12.0   1928   0   28   28   50   252847    DSWAP    G	1.7  -
Row:     47950 47945 05-07-11    18:29   30 20074655   68  H2_full  0.78     0.82   4558   12.0   1928   0   28   28   50   250292    DSWAP    G	1.7  -
Row:     47951 47951 05-07-11    19:40   26 20094032   67  H2_full  0.82     0.85   4558   12.0   1928   0   28   28   50   249055      AMO    G	1.7  -
Row:     47952 47951 05-07-11    20:52   30 20617719   68  H2_full  0.78     0.81   4558   12.0   1928   0   28   28   50   247115    DSWAP    G	1.7  -
Row:     47953 47951 05-07-11    22:03   31 20912445   68  H2_full  0.77     0.81   4558   12.0   1928   0   28   28   50   259469    DSWAP    G	1.7  -
Row:     47954 47951 05-07-11    23:17   31 21064718   69  H2_full  0.77     0.81   4558   12.0   1928   0   28   28   50   257955    DSWAP    G	1.7  -
Row:     47955 47955 05-07-12    00:32   27 20881713   70  H2_full  0.84     0.86   4558   12.0   1928   0   28   28   50   253655      AMO    G	1.7  -
Row:     47956 47955 05-07-12    01:50   32 21209975   73  H2_full  0.76     0.80   4558   12.0   1928   0   28   28   50   252179    DSWAP    G	1.7  -
Row:     47957 47955 05-07-12    03:08   31 20693758   66  H2_full  0.76     0.79   4558   12.0   1928   0   28   28   50   245082    DSWAP    G	1.7  -
Row:     47958 47955 05-07-12    04:17   32 21722316   70  H2_full  0.77     0.80   4558   12.0   1928   0   28   28   50   258890    DSWAP    G	1.7  -
Row:     47959 47959 05-07-12    05:31   27 21211328   81  H2_full  0.84     0.86   4558   12.0   1928   0   28   28   50   259446      AMO    G	1.7  -
Row:     47961 47959 05-07-12    07:05   32 21619366   74  H2_full  0.78     0.81   4558   12.0   1928   0   28   28   50   269209    DSWAP    G	1.7  -
Row:     47988 47959 05-07-13    16:02    8  4948562   58  H2_full  0.94     0.92   4558   12.0   1928   0   28   28   50   114801  DSWAPL2    G	1.7  -
Row:     47989 47959 05-07-13    16:43    4  2413825   13  H2_full  0.94     0.92   4558   12.0   1928   0   28   28   50    49961  DSWAPL2    G	1.7  -
Row:     47990 47959 05-07-13    17:04    8  5504095   56  H2_full  0.94     0.91   4558   12.0   1928   0   28   28   50   103536  DSWAPL2    G	1.7  -
Row:     47991 47959 05-07-13    17:48   30 20056286  127  H2_full  0.91     0.91   4558   12.0   1928   0   28   28   50    92388  DSWAPL2    G	1.7  -
Row:     47992 47959 05-07-13    19:58   30 20316346  109  H2_full  0.92     0.92   4558   12.0   1928   0   28   28   50    91782  DSWAPL2    G	1.7  -
Row:     47993 47959 05-07-13    21:49   11  7442114   94  H2_full  0.95     0.93   4558   12.0   1928   0   28   28   50    49152  DSWAPL2    G	1.7  -
Row:     47994 47994 05-07-13    23:43   21 16158457  317  H2_full  0.95     0.94   4558    8.0   1928   0   28   28   50   116813    AMOL2    G	1.7  -
Row:     48020 47994 05-07-15    13:27   26 17568673  146  H2_full  0.92     0.92   4558   12.0   1928   0   28   28   50    48550  DSWAPL2    G	1.7  -
Row:     48021 47994 05-07-15    16:01   31 21374584  107  H2_full  0.92     0.92   4558   12.0   1928   0   28   28   50    63366  DSWAPL2    G	1.7  -
Row:     48022 47994 05-07-15    17:52   33 22871181  107  H2_full  0.91     0.91   4558   12.0   1928   0   28   28   50    64698  DSWAPL2    G	1.7  -
Row:     48023 48023 05-07-15    19:46   26 20022516  162  H2_full  0.95     0.94   4558    8.0   1928   0   28   28   50    96156    AMOL2    G	1.7  -
Row:     48024 48023 05-07-15    22:37   29 20080721  103  H2_full  0.93     0.92   4558   12.0   1928   0   28   28   50    54080  DSWAPL2    G	1.7  -
Row:     48025 48023 05-07-16    00:23   29 20112100  101  H2_full  0.92     0.92   4558   12.0   1928   0   28   28   50    48674  DSWAPL2    G	1.7  -
Row:     48026 48023 05-07-16    02:08   29 20181504   96  H2_full  0.92     0.92   4558   12.0   1928   0   28   28   50    50494  DSWAPL2    G	1.7  -
Row:     48027 48023 05-07-16    04:30    4  3214772  150  H2_full  0.94     0.93   4558    8.0   1928   0   28   28   50    12083    AMOL2    G	1.7  -
Row:     48028 48028 05-07-16    06:03   20 15248333  142  H2_full  0.95     0.94   4558    8.0   1928   0   28   28   50    48623    AMOL2    G	1.7  -
Row:     48029 48028 05-07-16    08:35   31 21124747  117  H2_full  0.92     0.92   4558   12.0   1928   0   28   28   50    54772  DSWAPL2    G	1.7  -
Row:     48030 48028 05-07-16    10:35   29 20089624  101  H2_full  0.92     0.92   4558   12.0   1928   0   28   28   50    51114  DSWAPL2    G	1.7  -
Row:     48031 48028 05-07-16    12:21   30 20362138   96  H2_full  0.92     0.92   4558   12.0   1928   0   28   28   50    63741  DSWAPL2    G	1.7  -
Row:     48032 48032 05-07-16    14:09   23 17779235  118  H2_full  0.94     0.93   4558    8.0   1928   0   28   28   50    91147    AMOL2    G	1.7  -
Row:     48033 48032 05-07-16    16:15   31 20935608  117  H2_full  0.90     0.92   4558   12.0   1928   0   28   28   50     6163  DSWAPL2    G	1.7  -
Row:     48034 48032 05-07-16    18:15   11  7275357   34  H2_full  0.93     0.92   4558   12.0   1928   0   28   28   50       56  DSWAPL2    G	1.7  -
Row:     48035 48032 05-07-16    19:25   30 20647858  100  H2_full  0.75     0.92   4558   12.0   1928   0   28   28   50        8  DSWAPL2    G	1.7  -
Row:     48036 48032 05-07-16    21:07   18 12461946   63  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.7  -
Row:     48037 48037 05-07-16    22:15   26 20150177  144  H2_full  0.00     0.93   4558   12.0   1928   0   28   28   50        0    AMOL2    G	1.7  -
Row:     48038 48037 05-07-17    01:03   30 20271919  117  H2_full  0.80     0.92   4558   12.0   1928   0   28   28   50       10  DSWAPL2    G	1.7  -
Row:     48039 48037 05-07-17    03:04   29 19617374   96  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        2  DSWAPL2    G	1.7  -
Row:     48040 48037 05-07-17    04:43   29 20041087  110  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.7  -
Row:     48041 48041 05-07-17    06:38   26 20292948  139  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.7  -
Row:     48042 48041 05-07-17    09:01   29 20077915  101  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.7  -
Row:     48043 48041 05-07-17    10:45   32 22257543  106  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.7  -
Row:     48044 48041 05-07-17    12:35   29 20032179   97  H2_full  0.50     0.92   4558    0.0   1928   0   28   28   50        4  DSWAPL2    G	1.7  -
Row:     48045 48045 05-07-17    14:20   25 19678563  187  H2_full  0.93     0.94   4558    8.0   1928   0   28   28   50      463    AMOL2    G	1.7  -
Row:     48047 48045 05-07-17    17:49   33 22901893  111  H2_full  0.96     0.92   4558   12.0   1928   0   28   28   50       25  DSWAPL2    G	1.7  -
Row:     48048 48045 05-07-17    19:44   29 20152037   99  H2_full  0.86     0.92   4558   12.0   1928   0   28   28   50       14  DSWAPL2    G	1.7  -
Row:     48049 48045 05-07-17    21:26   30 20714309   99  H2_full  1.00     0.92   4558   12.0   1928   0   28   28   50        2  DSWAPL2    G	1.7  -
Row:     48050 48050 05-07-17    23:09   27 21033260  136  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.7  -
Row:     48052 48050 05-07-18    02:36    9  5850635   64  H2_full  0.00     0.89   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.7  -
Row:     48053 48050 05-07-18    03:47    5  3444785   18  H2_full  0.00     0.90   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.7  -
Row:     48054 48050 05-07-18    04:07   31 21117376  105  H2_full  0.94     0.89   4558   12.0   1928   0   28   28   50       53  DSWAPL2    G	1.7  -
Row:     48055 48050 05-07-18    05:56   22 15078904  155  H2_full  0.00     0.91   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.7  -
Row:     48056 48050 05-07-18    16:16   15  9970802   74  H2_full  0.00     0.93   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.7  -
Row:     48058 48050 05-07-18    19:00    9  6169351   85  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.7  -
Row:     48059 48050 05-07-18    20:58   20 13813052  115  H2_full  0.00     0.94   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.7  -
Row:     48063 48063 05-07-19    16:18   27 20926725  154  H2_full  0.80     0.93   4558   12.0   1928   0   28   28   50       10    AMOL2    G	1.7  -
Row:     48064 48063 05-07-19    18:56   29 20162694  110  H2_full  0.95     0.91   4558   12.0   1928   0   28   28   50       88  DSWAPL2    G	1.7  -
Row:     48066 48063 05-07-19    23:05   30 20585924  114  H2_full  0.95     0.88   4558   12.0   1928   0   28   28   50       65  DSWAPL2    G	1.7  -
Row:     48067 48063 05-07-19    23:05   30 20585924  114  H2_full  0.95     0.88   4558   12.0   1928   0   28   28   50       65  DSWAPL2    G	1.7  -
Row:     48068 48073 05-07-20    01:12   27 21262151  161  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.7  -
Row:     48070 48073 05-07-20    04:14   29 20296944  110  H2_full  0.00     0.88   4558   12.0   1928   0   28   28   50        1  DSWAPL2    G	1.7  -
